sa,sa,Active,Sales Person,Harry,Sawant,harry.sawant@gmail.com
sb,sb,Active,Sales Person,John,Modi,john.modi@gmail.com
sc,sc,Active,Sales Person,Peter,Pandey,peter.pandey@gmail.com
sd,sd,Active,Sales Person,Sam,Shetty,sam.shetty@gmail.com
se,se,Active,Sales Person,Joe,Singh,joe.singh@gmail.com
sf,sf,Active,Sales Person,Jay,Jain,jay.jain@gmail.com
sg,sg,Active,Sales Person,James,Khajanchi,james.khajanchi@gmail.com
sh,sh,Active,Sales Person,Andy,Khan,andy.khan@gmail.com
si,si,Active,Sales Person,Brook,Gupta,brook.gupta@gmail.com
sj,sj,Active,Sales Person,Jeff,A,a.jeff@gmail.com
sk,sk,Active,Sales Person,Harry,B,b.harry@gmail.com
sl,sl,Active,Sales Person,John,C,c.john@gmail.com
sm,sm,Active,Sales Person,Peter,D,d.peter@gmail.com
sn,sn,Active,Sales Person,Sam,E,e.sam@gmail.com
so,so,Active,Sales Person,Joe,F,f.joe@gmail.com
sp,sp,Active,Sales Person,Jay,G,g.jay@gmail.com
sq,sq,Active,Sales Person,James,H,h.james@gmail.com
sr,sr,Active,Sales Person,Andy,I,i.andy@gmail.com
ss,ss,Active,Sales Person,Brook,J,j.brook@gmail.com
st,st,Active,Sales Person,Peter,K,k.peter@gmail.com
